1,Vocabulary,Vocabulario,,vocab
1,Countries,Países,,vocab
1,Australia,Australia,,vocab
1,Cambodia,Camboya,,vocab
1,Canada,Canadá,,vocab
1,China,China,,vocab
1,Egypt,Egipto,,vocab
1,England,Inglaterra,,vocab
1,France,Francia,,vocab
1,Germany,Alemania,,vocab
1,Greece,Grecia,,vocab
1,India,India,,vocab
1,Indonesia,Indonesia,,vocab
1,Italy,Italia,,vocab
1,Japan,Japón,,vocab
1,Mexico,México,,vocab
1,Morocco,Marruecos,,vocab
1,Peru,Perú,,vocab
1,Spain,España,,vocab
1,Thailand,Tailandia,,vocab
1,USA,EE.UU.,,vocab
1,Languages,Idiomas,,vocab
1,Arabic,Árabe,,vocab
1,Chinese,Chino,,vocab
1,English,Inglés,,vocab
1,French,Francés,,vocab
1,German,Alemán,,vocab
1,Greek,Griego,,vocab
1,Hebrew,Hebreo,,vocab
1,Hindi,Hindi,,vocab
1,Italian,Italiano,,vocab
1,Japanese,Japonés,,vocab
1,Korean,Coreano,,vocab
1,Latin,Latín,,vocab
1,Russian,Ruso,,vocab
1,Spanish,Español,,vocab
1,Urdu,Urdu,,vocab
1,Days,Días,,vocab
1,Monday,Lunes,,vocab
1,Tuesday,Martes,,vocab
1,Wednesday,Miércoles,,vocab
1,Thursday,Jueves,,vocab
1,Friday,Viernes,,vocab
1,Saturday,Sábado,,vocab
1,Sunday,Domingo,,vocab
1,time,tiempo,,vocab
1,hour,hora,,vocab
1,minute,minuto,,vocab
1,second,segundo,,vocab
1,colors,colores,,vocab
1,black,negro,,vocab
1,blue,azul,,vocab
1,brown,marrón,,vocab
1,gray,gris,,vocab
1,green,verde,,vocab
1,orange,naranja,,vocab
1,purple,púrpura,,vocab
1,red,rojo,,vocab
1,white,blanco,,vocab
1,yellow,amarillo,,vocab
1,,,,vocab
1,sizes,tamaños,,vocab
1,big,grande,,vocab
1,deep,profundo,,vocab
1,long,largo,,vocab
1,narrow,estrecho,,vocab
1,short,corto,,vocab
1,small,pequeño,,vocab
1,tall,alto,,vocab
1,thick,espeso,,vocab
1,thin,delgado,,vocab
1,wide,ancho,,vocab
1,tastes,los gustos,,vocab
1,bitter,amargo,,vocab
1,fresh,fresco,,vocab
1,salty,salado,,vocab
1,sour,agrio,,vocab
1,spicy,picante,,vocab
1,sweet,dulce,,vocab
1,qualities,cualidades,,vocab
1,bad,malo,,vocab
1,clean,limpio,,vocab
1,dark,oscuro,,vocab
1,difficult,difícil,,vocab
1,dirty,sucio,,vocab
1,dry,seco,,vocab
1,easy,fácil,,vocab
1,empty,vacío,,vocab
1,expensive,caro,,vocab
1,fast,rápido,,vocab
1,foreign,extranjero,,vocab
1,full,completo,,vocab
1,good,bueno,,vocab
1,hard,duro,,vocab
1,heavy,pesado,,vocab
1,inexpensive,barato,,vocab
1,light,ligero,,vocab
1,local,local,,vocab
1,new,nuevo,,vocab
1,noisy,ruidoso,,vocab
1,old,viejo,,vocab
1,powerful,poderoso,,vocab
1,quiet,tranquilo,,vocab
1,correct,correcto,,vocab
1,slow,lento,,vocab
1,soft,suave,,vocab
1,very,muy,,vocab
1,weak,débil,,vocab
1,wet,mojado,,vocab
1,wrong,mal,,vocab
1,young,joven,,vocab
1,food,comida,,vocab
1,almonds,almendras,,vocab
1,bread,pan,,vocab
1,breakfast,desayuno,,vocab
1,butter,mantequilla,,vocab
1,candy,dulce,,vocab
1,cheese,queso,,vocab
1,chicken,pollo,,vocab
1,cumin,comino,,vocab
1,dessert,postre,,vocab
1,dinner,cena,,vocab
1,fish,pescado,,vocab
1,fruit,frutas,,vocab
1,ice cream,helado,,vocab
1,lamb,cordero,,vocab
1,lemon,limón,,vocab
1,lunch,almuerzo,,vocab
1,meal,comida,,vocab
1,meat,carne,,vocab
1,oven,horno,,vocab
1,pepper,pimienta,,vocab
1,plants,plantas,,vocab
1,pork,carne de cerdo,,vocab
1,salad,ensalada,,vocab
1,salt,sal,,vocab
1,sandwich,sándwich,,vocab
1,sausage,salchicha,,vocab
1,soup,sopa,,vocab
1,sugar,azúcar,,vocab
1,supper,cena,,vocab
1,turkey,pavo,,vocab
1,apple,manzana,,vocab
1,banana,plátano,,vocab
1,oranges,naranjas,,vocab
1,peaches,duraznos,,vocab
1,peanut,maní,,vocab
1,pears,peras,,vocab
1,pineapple,piña,,vocab
1,grapes,uvas,,vocab
1,strawberries,fresas,,vocab
1,vegetables,vegetales,,vocab
