1,Vocabulary,Wortschatz,,none
1,Countries,Länder,,none
1,Australia,Australien,,none
1,Cambodia,Kambodscha,,none
1,Canada,Kanada,,none
1,China,China,,none
1,Egypt,Ägypten,,none
1,England,England,,none
1,France,Frankreich,,none
1,Germany,Deutschland,,none
1,Greece,Griechenland,,none
1,India,Indien,,none
1,Indonesia,Indonesien,,none
1,Italy,Italien,,none
1,Japan,Japan,,none
1,Mexico,Mexiko,,none
1,Morocco,Marokko,,none
1,Peru,Peru,,none
1,Spain,Spanien,,none
1,Thailand,Thailand,,none
1,USA,USA,,none
1,Languages,Sprachen,,none
1,Arabic,Arabisch,,none
1,Chinese,Chinesisch,,none
1,English,Englisch,,none
1,French,Französisch,,none
1,German,Deutsch,,none
1,Greek,Griechisch,,none
1,Hebrew,Hebräisch,,none
1,Hindi,Hindi,,none
1,Italian,Italienisch,,none
1,Japanese,Japanisch,,none
1,Korean,Koreanisch,,none
1,Latin,Latein,,none
1,Russian,Russisch,,none
1,Spanish,Spanisch,,none
1,Urdu,Urdu,,none
1,Days,Wochentage,,none
1,Monday,Montag,,none
1,Tuesday,Dienstag,,none
1,Wednesday,Mittwoch,,none
1,Thursday,Donnerstag,,none
1,Friday,Freitag,,none
1,Saturday,Samstag,,none
1,Sunday,Sonntag,,none
1,time,Zeit,,none
1,hour,Stunde,,none
1,minute,Minute,,none
1,second,Sekunde,,none
5,colors,Farben,,none
5,black,schwarz,,none
5,blue,blau,,none
5,brown,braun,,none
5,gray,grau,,none
5,green,grün,,none
5,orange,orange,,none
5,purple,"lila, purpur, violett",,none
5,red,rot,,none
5,white,weiß,,none
5,yellow,gelb,,none
5,sizes,Größen,,none
5,big,groß,,none
5,deep,tief,,none
5,long,lang,,none
5,narrow,"eng, schmal",,none
5,short,kurz,,none
5,small,klein,,none
5,tall,groß,,none
5,thick,dick,,none
5,thin,dünn,,none
5,wide,breit,,none
5,tastes,Geschmacksrichtungen,,none
5,bitter,bitter,,none
5,fresh,frisch,,none
5,salty,salzig,,none
5,sour,sauer,,none
5,spicy,würzig,,none
5,sweet,süß,,none
